,L foot,L leg,R foot,blood,R brain III,R leg,L hand,R hand,L brain I,L arm,R gonad,R brain I,R kidney,L brain III,L gonad,R arm,L kidney
L foot,1.0,0.7879997693,0.615300825,0.0120460228,0.2123055779,0.5608277056,0.5375447848,0.4637554764,0.2372852808,0.4771307536,0.3365145195,0.2070886647,0.5083466719,0.2212018379,0.4240898353,0.4842903288,0.3995795655
L leg,0.7879997693,1.0,0.7054262748,0.0111022351,0.1992005669,0.5874472412,0.5020694356,0.4520917906,0.2596771668,0.4856483796,0.3635132235,0.2561881073,0.5014321977,0.2028912175,0.4779086419,0.4198860104,0.4254157959
R foot,0.615300825,0.7054262748,1.0,0.0145743898,0.2068446778,0.7636062549,0.5526593717,0.4378335403,0.2215224999,0.5806914424,0.3709177037,0.2233782306,0.4120554377,0.2331058793,0.3933282786,0.5199310587,0.359068172
blood,0.0120460228,0.0111022351,0.0145743898,1.0,0.0381037855,0.0141391793,0.0078810136,0.0092408241,0.0251303995,0.0108877235,0.0058484929,0.0262491683,0.0067357873,0.0488579756,0.0046714105,0.0104227386,0.0070642474
R brain III,0.2123055779,0.1992005669,0.2068446778,0.0381037855,1.0,0.203539541,0.1719761162,0.1675417107,0.4186535047,0.1640112758,0.121263908,0.4169343619,0.1886259581,0.6430831122,0.1642690306,0.2163920481,0.1710634919
R leg,0.5608277056,0.5874472412,0.7636062549,0.0141391793,0.203539541,1.0,0.5439373814,0.4897835752,0.2115023351,0.6001324708,0.3357364741,0.2295255553,0.4634925535,0.2171956925,0.4505038673,0.5397019927,0.4294524326
L hand,0.5375447848,0.5020694356,0.5526593717,0.0078810136,0.1719761162,0.5439373814,1.0,0.4695746888,0.2047339876,0.762730787,0.3399384128,0.2286506463,0.414823833,0.2171130633,0.3737730787,0.5479209008,0.3778846518
R hand,0.4637554764,0.4520917906,0.4378335403,0.0092408241,0.1675417107,0.4897835752,0.4695746888,1.0,0.2272413195,0.4740252152,0.3419353364,0.1919075935,0.3908024085,0.2086987564,0.2928044047,0.6055657616,0.3438743447
L brain I,0.2372852808,0.2596771668,0.2215224999,0.0251303995,0.4186535047,0.2115023351,0.2047339876,0.2272413195,1.0,0.1755154003,0.1794193641,0.5648923177,0.1712818554,0.4668144609,0.1830148668,0.2348626866,0.2105021007
L arm,0.4771307536,0.4856483796,0.5806914424,0.0108877235,0.1640112758,0.6001324708,0.762730787,0.4740252152,0.1755154003,1.0,0.2842401941,0.2075263717,0.4343688406,0.1838470761,0.3880397235,0.5468391453,0.427329469
R gonad,0.3365145195,0.3635132235,0.3709177037,0.0058484929,0.121263908,0.3357364741,0.3399384128,0.3419353364,0.1794193641,0.2842401941,1.0,0.1842824591,0.3129421571,0.1603194313,0.3896467448,0.2844477477,0.2810402255
R brain I,0.2070886647,0.2561881073,0.2233782306,0.0262491683,0.4169343619,0.2295255553,0.2286506463,0.1919075935,0.5648923177,0.2075263717,0.1842824591,1.0,0.1781912274,0.4316780398,0.1750130915,0.2648289454,0.1999004823
R kidney,0.5083466719,0.5014321977,0.4120554377,0.0067357873,0.1886259581,0.4634925535,0.414823833,0.3908024085,0.1712818554,0.4343688406,0.3129421571,0.1781912274,1.0,0.1675279676,0.4853214928,0.4226237683,0.5029223245
L brain III,0.2212018379,0.2028912175,0.2331058793,0.0488579756,0.6430831122,0.2171956925,0.2171130633,0.2086987564,0.4668144609,0.1838470761,0.1603194313,0.4316780398,0.1675279676,1.0,0.1555547053,0.2197500982,0.1822203618
L gonad,0.4240898353,0.4779086419,0.3933282786,0.0046714105,0.1642690306,0.4505038673,0.3737730787,0.2928044047,0.1830148668,0.3880397235,0.3896467448,0.1750130915,0.4853214928,0.1555547053,1.0,0.3346122565,0.4778345682
R arm,0.4842903288,0.4198860104,0.5199310587,0.0104227386,0.2163920481,0.5397019927,0.5479209008,0.6055657616,0.2348626866,0.5468391453,0.2844477477,0.2648289454,0.4226237683,0.2197500982,0.3346122565,1.0,0.3268558
L kidney,0.3995795655,0.4254157959,0.359068172,0.0070642474,0.1710634919,0.4294524326,0.3778846518,0.3438743447,0.2105021007,0.427329469,0.2810402255,0.1999004823,0.5029223245,0.1822203618,0.4778345682,0.3268558,1.0
